Unnamed: 0,ATL,LAX,ORD,DFW,DEN,JFK,SFO,SEA,MCO,LAS,CLT,EWR,PHX,IAH,MIA,BOS,MSP,DTW,FLL,PHL,LGA,BWI,SLC,SAN,IAD,DCA,MDW,PDX,BNA,AUS,DAL,STL,SJC,HOU,RDU,MSY,SMF,MCI,SNA,RSW,SAT,CLE,IND,PIT,SJU,CVG,CMH,JAX,PBI,MKE
2009/1/2,89.04,84.86,84.13,83.42,80.74,77.02,76.73,66.33,87.15,88.64,85.43,81.1,86.76,88.71,82.1,72.85,88.94,90.34,83.13,81.82,90.37,79.65,83.33,79.58,80.14,88.68,87.5,72.12,91.38,92.55,97.01,89.34,87.85,91.46,93.6,94.05,86.17,88.6,77.45,86.17,95.6,89.32,90.59,91.11,81.54,80.37,91.8,86.11,76.92,91.18
2009/1/3,58.62,74.81,79.77,83.33,75.69,65.76,50.76,72.41,84.35,71.6,83.85,57.19,79.36,84.88,75.78,80.67,78.9,84,81.25,78.06,86.4,70.77,62.5,70.19,82.8,85.11,72.67,64.04,80,85.84,90.53,84.51,80.33,87.39,80.54,89.11,73.83,86.57,77.12,87.5,89.19,89.92,85.42,81.31,93.44,81.46,83.72,84.42,77.5,81.32
2009/1/4,42.43,77.32,82.91,79.49,62,74,84.94,83.78,74.83,65.47,69.16,73.68,76.99,78.35,75.93,81.74,75,82.65,64.94,79.51,85.31,74.03,55,74.36,89.04,75.46,67.31,77.14,73.17,89.66,79.03,77.39,85.71,65.52,70,69.32,74.23,77.59,86.41,82.29,72.73,83,71.08,83.15,66.25,75.52,79.41,72.86,80.72,82.86
2009/1/5,47.76,73.83,81.68,80.28,62.68,69.02,80.83,64.43,78.84,64.33,73.47,76.52,59.94,70.85,67.26,80.87,73.18,76.47,77.14,75.23,82.51,65.57,71.14,67.8,80,80.21,68.87,66.98,75.2,75.47,75,78.63,67.57,69.64,77.3,70.83,72.28,77.78,77.14,80,74.53,82.05,81.11,68.69,80.56,72.48,76.25,78.67,76.92,67.11
2009/1/6,67.33,72.66,83.99,41.01,63.38,75.57,57.75,54.21,78.82,64.35,85.61,85.62,69.09,71.96,74.68,83.07,82.35,83.76,81.48,86.07,89.21,72.5,54.21,75.47,91.19,89.41,70.35,63.96,77.54,63.89,64.58,76.03,80.62,62.07,79.87,76.47,72.9,73.13,80,82.95,61.32,89.92,86.46,78,90.16,80.82,88.24,83.12,83.12,86.52
2009/1/7,78.49,83.29,60.15,73.6,77.73,82.5,75.49,69.4,77.36,79.39,77.27,84.04,81.64,76.81,65.61,91.67,85.12,79.17,73.97,67.24,91.58,71.35,64.74,90.15,77.54,87.33,51.16,77.67,72.39,81.65,75.58,75.52,92.56,58.77,75.16,67.74,77.45,77.69,86.89,84,75.49,87.93,81.52,70.41,92.59,65.25,77.38,80,83.08,80.49
2009/1/8,79.43,86.7,63.76,82.35,82.62,61.74,80.39,75.68,63.5,83.38,57.43,64.64,86.44,79.35,48.72,60.47,80.72,74.56,51.37,55.76,65.74,63.98,89.42,91.22,76.81,74.65,77.98,90.57,77.61,88.29,93.81,79.29,95.83,88.8,65.75,76.04,89.42,82.17,88.98,60.27,88.46,73.45,65.56,77.89,69.64,66.67,71.43,71.43,52.17,73.68
2009/1/9,88.7,89.03,84.01,87.47,91.49,84.17,74.03,89.95,86.81,88.27,89.19,75.46,88.58,86.5,69.81,87.46,88.84,87.5,74.52,87.39,66.79,91.67,94.74,91.22,94.33,91.15,93.79,90.74,86.57,96.49,95.79,87.67,95.45,92.11,87.33,92.78,86.92,93.48,80.17,93.51,95.19,86.4,88.3,88.89,73.21,77.78,81.93,90.54,78.87,88.76
2009/1/10,88.71,86.84,60.25,90.21,89.02,83.69,82.95,85.42,85.3,84.87,87.22,71.05,87.4,94.14,80.36,93.25,87.61,81.25,86.25,83.83,93.09,90.05,88.32,86.89,92,90.75,72.94,86.79,89.93,94.78,90.43,86.11,78.07,89.26,90.32,96,89.32,90.15,92.5,90.24,91.59,81.08,86.41,86.27,91.53,87.07,83.52,86.84,85.71,67.06
2009/1/11,88.15,88.47,31.41,88.53,84.73,81.82,90.73,85.9,87.22,88.62,81,81.82,88.65,82.4,77.42,91.67,85,67.58,83.92,85.63,93.87,88.05,88.75,95.24,86.61,87.59,56.45,90,73.4,92.21,88.64,85.42,98.77,91.57,88.57,86.08,91.57,89.58,98.86,79.73,87.34,55.38,85.07,77.33,88.57,72.09,79.25,89.29,87.3,79.25
2009/1/12,78.45,89.67,70.2,78.1,87.81,73.83,90.73,84.97,79.23,89.97,76.59,53.81,89.77,78.79,67.07,65.62,87.14,77.78,76.25,85.24,86.45,85.29,86.27,95.02,88.41,79.79,87.57,90.22,77.87,96.19,83.75,90.84,94.5,87,75.19,76.6,89.58,89.76,94.34,78.21,88.78,79.41,78.16,87.64,83.82,68.99,73.68,86.96,72.46,76.32
2009/1/13,84.05,93.73,75,81.86,67.47,88.75,90.91,85.11,87,92.62,92.61,85.05,88.86,84.42,72.5,88.96,56.42,88.41,80.13,89.13,90.55,94.18,88.35,95.19,92.86,87.84,88.41,88.46,85.71,92.73,94.68,90.65,98.37,90.52,91.16,91.67,87.74,87.69,94.4,81.58,86.41,88.1,90.82,81.44,83.33,78.83,86.59,84,86.11,81.71
2009/1/14,93.77,96.01,86.87,88.44,92.74,84.05,95.18,91.11,71.83,94.65,87.5,88.32,93.63,93.48,73.55,85.81,86.04,89.03,76.06,93.89,81.06,93.22,95.88,98.03,91.85,90.5,88.89,91.43,87.69,99.07,95.83,90.97,98.37,92.24,89.19,88.04,96.15,91.54,97.37,68.92,98.02,83.93,88.3,89.69,88,80.95,81.18,77.33,73.85,92.31
2009/1/15,92.36,91.15,41.58,80.71,81.75,87.23,90.12,87.01,85.98,91.64,88.72,88.42,90.48,89.82,81.53,93.85,76.15,72.1,82.31,84.72,87.93,84.41,88.18,93.17,83.69,86.9,41.4,92.16,81.68,89.29,86.81,78.1,92.56,82.2,84.56,93.62,94.39,83.82,91.06,82.43,83.33,73.91,76.4,88.42,83.67,70.45,63.64,81.43,85.07,75
2009/1/16,85.79,87.07,63.27,79.49,68.72,66.53,92.97,85.87,69.2,84.29,76.38,63.86,89.72,80.5,61.78,85.81,66.52,78.45,65.61,88.14,49.55,80.85,91.43,89.32,81.38,83.33,79.17,91.35,82.44,87.5,91.11,83.8,89.6,88.5,76.22,82.65,91.09,82.22,90.91,71.43,86.67,77.24,74.47,77.55,75.47,69.85,79.75,75.34,59.72,78.05
